"TYPE"	"WORD"	"VALUE"
"wuerdig"	"wuerdigerer"	0.0801
"wuerdig"	"wuerdigste"	0.0801
"wuerdig"	"wuerdigstes"	0.0801
"wuerdig"	"wuerdigem"	0.0801
"wuerdig"	"wuerdigster"	0.0801
"wuerdig"	"wuerdigeren"	0.0801
"wuerdig"	"wuerdigerem"	0.0801
"wuerdig"	"wuerdige"	0.0801
"wuerdig"	"wuerdigere"	0.0801
"wuerdigen"	"wuerdigen"	0.2056
"wuerdigen"	"wuerdigt"	0.2056
"wuerdigen"	"wuerdigst"	0.2056
"wuerdigen"	"wuerdiget"	0.2056
"wuerdigen"	"wuerdigtest"	0.2056
"wuerdigen"	"wuerdigten"	0.2056
"wuerdigen"	"wuerdig"	0.2056
"wuerdigen"	"wuerdigte"	0.2056
"wuerdigen"	"wuerdigtet"	0.2056
"wuerdigen"	"wuerdigest"	0.2056
"wuerdigen"	"gewuerdigt"	0.2056
"wuerdigen"	"wuerdige"	0.2056
"wuergen"	"wuergen"	-0.0048
"wuergen"	"wuerge"	-0.0048
"wuergen"	"wuergst"	-0.0048
"wuergen"	"wuergt"	-0.0048
"wuergen"	"wuergest"	-0.0048
"wuergen"	"wuerget"	-0.0048
"wuergen"	"wuergte"	-0.0048
"wuergen"	"wuergtest"	-0.0048
"wuergen"	"wuergten"	-0.0048
"wuergen"	"wuergtet"	-0.0048
"wuergen"	"gewuergt"	-0.0048
"Wueste"	"Wueste"	-0.0048
"Wueste"	"Wuesten"	-0.0048
"Wut"	"Wut"	-0.4726
"wueten"	"wueten"	-0.0048
"wueten"	"wuete"	-0.0048
"wueten"	"wuetest"	-0.0048
"wueten"	"wuetet"	-0.0048
"wueten"	"wuetete"	-0.0048
"wueten"	"wuetetest"	-0.0048
"wueten"	"wueteten"	-0.0048
"wueten"	"wuetetet"	-0.0048
"wueten"	"gewuetet"	-0.0048
"wuetend"	"wuetend"	-0.3233
"wuetend"	"wuetende"	-0.3233
"wuetend"	"wuetendem"	-0.3233
"wuetend"	"wuetenden"	-0.3233
"wuetend"	"wuetender"	-0.3233
"wuetend"	"wuetendes"	-0.3233
"wuetend"	"wuetendere"	-0.3233
"wuetend"	"wuetenderem"	-0.3233
"wuetend"	"wuetenderen"	-0.3233
"wuetend"	"wuetenderer"	-0.3233
"wuetend"	"wuetenderes"	-0.3233
"wuetend"	"wuetendste"	-0.3233
"wuetend"	"wuetendstem"	-0.3233
"wuetend"	"wuetendsten"	-0.3233
"wuetend"	"wuetendster"	-0.3233
"wuetend"	"wuetendstes"	-0.3233
"wutentbrannt"	"wutentbrannt"	-0.3138
"wutentbrannt"	"wutentbrannte"	-0.3138
"wutentbrannt"	"wutentbranntem"	-0.3138
"wutentbrannt"	"wutentbrannten"	-0.3138
"wutentbrannt"	"wutentbrannter"	-0.3138
"wutentbrannt"	"wutentbranntes"	-0.3138
"wutschaeumend"	"wutschaeumend"	-0.0048
"wutschaeumend"	"wutschaeumendem"	-0.0048
"wutschaeumend"	"wutschaeumenden"	-0.0048
"wutschaeumend"	"wutschaeumenderer"	-0.0048
"wutschaeumend"	"wutschaeumenderes"	-0.0048
"wutschaeumend"	"wutschaeumender"	-0.0048
"wutschaeumend"	"wutschaeumendes"	-0.0048
"wutschaeumend"	"wutschaeumendstes"	-0.0048
"wutschaeumend"	"wutschaeumendste"	-0.0048
"wutschaeumend"	"wutschaeumenderem"	-0.0048
"wutschaeumend"	"wutschaeumenderen"	-0.0048
